Model      | Non-Emb Params  | Total      | d_ff   | Norm  | Pos     | Act     | Bias
------------------------------------------------------------------------------------------
neon001    | 2,108,928       | 2,371,072  | 512    | Unknown | RoPE    | GELU    | True
neon002    | 2,099,968       | 2,362,112  | 512    | RMS   | RoPE    | GELU    | False
neon003    | 1,706,752       | 1,968,896  | 512    | RMS   | RoPE    | GELU    | False
neon004    | 1,706,752       | 1,968,896  | 512    | RMS   | RoPE    | Unknown | False
neon005    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon006    | 2,493,184       | 2,755,328  | 512    | RMS   | RoPE    | SwiGLU  | False
neon007    | 2,627,840       | 2,889,984  | 512    | RMS   | RoPE    | SwiGLU  | False
neon008    | 2,626,560       | 2,888,704  | 512    | LN    | RoPE    | SwiGLU  | False
neon009    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon010    | 2,640,896       | 2,903,040  | 512    | RMS   | RoPE    | SwiGLU  | False
neon011    | 11,837,312      | 12,230,528 | 768    | RMS   | RoPE    | SwiGLU  | False
neon012    | 15,761,024      | 16,285,312 | 1024   | RMS   | RoPE    | SwiGLU  | False
neon013    | 8,211,200       | 8,538,880  | 640    | RMS   | RoPE    | SwiGLU  | False
neon014    | 14,186,496      | 14,579,712 | 1536   | RMS   | RoPE    | SwiGLU  | False
neon015    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon016    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon017    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon018    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon019    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon020    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon021    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon022    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon023    | 5,772,544       | 6,034,688  | 512    | RMS   | RoPE    | SwiGLU  | False
neon024    | 5,772,544       | 6,034,688  | 512    | RMS   | RoPE    | SwiGLU  | False
neon025    | 2,886,400       | 3,148,544  | 512    | RMS   | RoPE    | SwiGLU  | False
neon026    | 2,888,448       | 3,150,592  | 598    | RMS   | RoPE    | SwiGLU  | False
neon027    | 2,886,656       | 3,148,800  | 592    | RMS   | RoPE    | SwiGLU  | False
neon028    | 2,886,400       | 3,148,544  | 640    | RMS   | RoPE    | SwiGLU  | False
neon029    | 2,886,636       | 3,148,780  | 891    | Unknown | RoPE    | GELU    | True
neon030    | 2,886,400       | 3,148,544  | 896    | RMS   | RoPE    | GELU    | False
neon031    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon032    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon033    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon034    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
neon035    | 2,624,768       | 2,886,912  | 512    | RMS   | RoPE    | SwiGLU  | False
neon036    | 2,624,256       | 2,886,400  | 512    | RMS   | RoPE    | SwiGLU  | False
