Model      | Tok   | d_ff   | Loss      
----------------------------------------
neon001    | tok1  | 512    | 1.7509
neon001    | tok2  | 512    | 1.1521
neon002    | tok2  | 512    | 1.1070
neon002    | tok1  | 512    | 1.7434
neon003    | tok1  | 512    | 1.8868
neon003    | tok2  | 512    | 1.3522
neon004    | tok1  | 512    | 1.9451
neon004    | tok2  | 512    | 1.5009
neon005    | tok1  | 512    | 1.4673
neon006    | tok1  | 512    | 1.5467
neon007    | tok1  | 512    | 3.0147
neon008    | tok1  | 512    | 6.0381
neon009    | tok1  | 512    | 1.3010
neon010    | tok1  | 512    | 2.5903
neon010    | tok1  | 512    | 1.3698
neon011    | tok1  | 768    | 2.1547
neon012    | tok1  | 1024   | 2.1280
neon013    | tok1  | 640    | 2.2307
neon014    | tok1  | 1536   | 2.1199
neon015    | tok1  | 512    | 1.3042
neon016    | tok4  | 512    | 0.9174
neon016    | tok3  | 512    | 1.1610
neon016    | tok1  | 512    | 1.2551
neon017    | tok1  | 512    | 1.3764
neon018    | tok1  | 512    | 1.3808
neon019    | tok1  | 512    | 1.3150
neon020    | tok1  | 512    | 1.2809
neon021    | tok1  | 512    | 1.2842
neon022    | tok1  | 512    | 1.4234
neon023    | tok1  | 512    | 0.5260
neon024    | tok1  | 512    | 1.0800
neon025    | tok1  | 512    | 1.3404
neon026    | tok1  | 598    | 1.3553
neon027    | tok3  | 592    | 1.1683
neon027    | tok1  | 592    | 1.2558
neon027    | tok4  | 592    | 0.9297
neon028    | tok1  | 640    | 1.3554
neon029    | tok1  | 891    | 1.4158
neon030    | tok1  | 896    | 1.3953
neon031    | tok1  | 512    | 1.3975
neon032    | tok1  | 512    | 1.3854
neon033    | tok1  | 512    | 1.3875
neon034    | tok1  | 512    | 1.4229
neon035    | tok1  | 512    | 1.3866
neon036    | tok1  | 512    | 1.4049
neon037    | tok1  | 512    | 1.4264
neon038    | tok1  | 512    | 1.3784
neon039    | tok1  | 512    | 1.4417
neon040    | tok1  | 512    | 1.5139
neon041    | tok1  | 512    | 1.3754
neon042    | tok1  | 512    | 1.3774
neon043    | tok1  | 512    | 1.3780
neon044    | tok1  | 512    | 1.3905
neon045    | tok1  | 512    | 1.3618
neon046    | tok1  | 512    | 1.3524
neon047    | tok1  | 512    | 1.3758
neon048    | tok1  | 512    | 1.3609
neon049    | tok1  | 512    | 1.3594
neon050    | tok1  | 512    | 1.3740
neon051    | tok1  | 512    | 1.3938
neon052    | tok1  | 512    | 1.3447
neon053    | tok1  | 512    | 1.3129
neon054    | tok1  | 512    | 1.4444
neon055    | tok1  | 592    | 1.2417
neon055    | tok4  | 592    | 0.9434
neon055    | tok3  | 592    | 1.1601
neon056    | tok1  | 592    | 1.3369
neon057    | tok1  | 592    | 1.3418
neon058    | tok1  | 512    | 1.4620
neon059    | tok1  | 592    | 1.2588
neon060    | tok1  | 592    | 1.3029
neon061    | tok4  | 2736   | 0.2364
neon061    | tok4  | 2736   | 3.0940
neon062    | tok4  | 512    | 1.2116
neon062    | tok4  | 512    | 3.3475
neon063    | tok4  | 512    | 3.3141
neon063    | tok4  | 512    | 1.1605
neon064    | tok4  | 512    | 1.2970
neon064    | tok4  | 512    | 3.4275
neon065    | tok4  | 512    | 3.3171
neon065    | tok4  | 512    | 0.7833
neon066    | tok4  | 512    | 3.3377
neon066    | tok4  | 512    | 1.0632
neon067    | tok4  | 512    | 1.0060
neon068    | tok4  | 512    | 0.9214
neon069    | tok4  | 512    | 0.9259
neon070    | tok4  | 576    | 1.1269
neon071    | tok4  | 640    | 1.0495
neon072    | tok4  | 512    | 0.8577
neon073    | tok4  | 576    | 1.1571
neon074    | tok4  | 576    | 1.0653
neon075    | tok4  | 576    | 1.0084
neon076    | tok4  | 480    | 1.0399
neon077    | tok4  | 368    | 0.9172
neon078    | tok4  | 500    | 1.4483
neon079    | tok4  | 480    | 1.1056
