Stage 1 | Step 500: Train 5.5719, Val 5.4988 (L=4, k=1)
Stage 1 | Step 1000: Train 5.0115, Val 5.0130 (L=4, k=1)
Stage 1 | Step 1500: Train 4.7424, Val 4.7763 (L=4, k=1)
Stage 1 | Step 2000: Train 4.6055, Val 4.5971 (L=4, k=1)
Stage 1 | Step 2500: Train 4.4781, Val 4.4693 (L=4, k=1)
Stage 1 | Step 3000: Train 4.3542, Val 4.3756 (L=4, k=1)
Stage 1 | Step 3500: Train 4.2838, Val 4.3160 (L=4, k=1)
Stage 1 | Step 4000: Train 4.2107, Val 4.2695 (L=4, k=1)
Stage 1 | Step 4500: Train 4.1788, Val 4.2243 (L=4, k=1)
Stage 1 | Step 5000: Train 4.1968, Val 4.1858 (L=4, k=1)
Stage 2 | Step 5500: Train 4.2045, Val 4.1738 (L=5, k=1)
Stage 2 | Step 6000: Train 4.1688, Val 4.1235 (L=5, k=1)
Stage 2 | Step 6500: Train 4.0443, Val 4.1065 (L=5, k=1)
Stage 2 | Step 7000: Train 4.1103, Val 4.0642 (L=5, k=1)
Stage 2 | Step 7500: Train 4.1577, Val 4.0511 (L=5, k=1)
Stage 2 | Step 8000: Train 4.0579, Val 4.0306 (L=5, k=1)
Stage 3 | Step 8500: Train 3.9867, Val 4.0169 (L=6, k=1)
Stage 3 | Step 9000: Train 3.9987, Val 4.0039 (L=6, k=1)
Stage 3 | Step 9500: Train 3.9617, Val 3.9992 (L=6, k=1)
Stage 3 | Step 10000: Train 3.8880, Val 3.9600 (L=6, k=1)
Stage 3 | Step 10500: Train 3.9033, Val 3.9453 (L=6, k=1)
Stage 3 | Step 11000: Train 3.9408, Val 3.9359 (L=6, k=1)
Stage 4 | Step 11500: Train 3.8928, Val 3.9297 (L=7, k=1)
Stage 4 | Step 12000: Train 3.8881, Val 3.9080 (L=7, k=1)
Stage 4 | Step 12500: Train 3.8693, Val 3.9003 (L=7, k=1)
Stage 4 | Step 13000: Train 3.9905, Val 3.8855 (L=7, k=1)
Stage 4 | Step 13500: Train 3.9236, Val 3.8763 (L=7, k=1)
Stage 4 | Step 14000: Train 3.8872, Val 3.8600 (L=7, k=1)
Stage 5 | Step 14500: Train 3.8525, Val 3.8518 (L=8, k=1)
Stage 5 | Step 15000: Train 3.8946, Val 3.8487 (L=8, k=1)
Stage 5 | Step 15500: Train 3.7551, Val 3.8328 (L=8, k=1)
Stage 5 | Step 16000: Train 3.7356, Val 3.8252 (L=8, k=1)
Stage 5 | Step 16500: Train 3.8205, Val 3.8325 (L=8, k=1)
Stage 5 | Step 17000: Train 3.8173, Val 3.8188 (L=8, k=1)
Stage 6 | Step 17500: Train 3.8207, Val 3.8109 (L=8, k=3)
Stage 6 | Step 18000: Train 3.7293, Val 3.7955 (L=8, k=3)
Stage 6 | Step 18500: Train 3.7057, Val 3.7853 (L=8, k=3)
Stage 6 | Step 19000: Train 3.8106, Val 3.7799 (L=8, k=3)
Stage 6 | Step 19500: Train 3.7970, Val 3.7811 (L=8, k=3)
Stage 6 | Step 20000: Train 3.7516, Val 3.7774 (L=8, k=3)
Stage 7 | Step 20500: Train 3.7411, Val 3.7731 (L=8, k=5)
Stage 7 | Step 21000: Train 3.8299, Val 3.7494 (L=8, k=5)
Stage 7 | Step 21500: Train 3.6855, Val 3.7451 (L=8, k=5)
Stage 7 | Step 22000: Train 3.7208, Val 3.7323 (L=8, k=5)
Stage 7 | Step 22500: Train 3.5876, Val 3.7378 (L=8, k=5)
Stage 7 | Step 23000: Train 3.6726, Val 3.7353 (L=8, k=5)
Stage 8 | Step 23500: Train 3.6978, Val 3.7254 (L=8, k=7)
Stage 8 | Step 24000: Train 3.6515, Val 3.7288 (L=8, k=7)
Stage 8 | Step 24500: Train 3.6256, Val 3.7170 (L=8, k=7)
Stage 8 | Step 25000: Train 3.7760, Val 3.6960 (L=8, k=7)
Stage 8 | Step 25500: Train 3.7195, Val 3.7051 (L=8, k=7)
Stage 8 | Step 26000: Train 3.7480, Val 3.6926 (L=8, k=7)
Stage 9 | Step 26500: Train 3.6570, Val 3.6954 (L=8, k=9)
Stage 9 | Step 27000: Train 3.6222, Val 3.6942 (L=8, k=9)
Stage 9 | Step 27500: Train 3.7102, Val 3.7005 (L=8, k=9)
Stage 9 | Step 28000: Train 3.6647, Val 3.6811 (L=8, k=9)
Stage 9 | Step 28500: Train 3.6453, Val 3.6676 (L=8, k=9)
Stage 9 | Step 29000: Train 3.6073, Val 3.6650 (L=8, k=9)
Stage 9 | Step 29500: Train 3.5893, Val 3.6681 (L=8, k=9)
Stage 9 | Step 30000: Train 3.6335, Val 3.6558 (L=8, k=9)
Stage 9 | Step 30500: Train 3.6071, Val 3.6534 (L=8, k=9)
Stage 9 | Step 31000: Train 3.7305, Val 3.6660 (L=8, k=9)
