Neon213-Muon-Growth | Step 250 (k=1): Train 5.7913, Val 5.7029
Neon213-Muon-Growth | Step 500 (k=1): Train 5.2452, Val 5.2147
Neon213-Muon-Growth | Step 750 (k=1): Train 4.8749, Val 4.8796
Neon213-Muon-Growth | Step 1000 (k=1): Train 4.7622, Val 4.6796
Neon213-Muon-Growth | Step 1250 (k=1): Train 4.6268, Val 4.5627
Neon213-Muon-Growth | Step 1500 (k=1): Train 4.4667, Val 4.4465
Neon213-Muon-Growth | Step 1750 (k=1): Train 4.4186, Val 4.3724
Neon213-Muon-Growth | Step 2000 (k=1): Train 4.2604, Val 4.2946
Neon213-Muon-Growth | Step 2250 (k=1): Train 4.2657, Val 4.2514
Neon213-Muon-Growth | Step 2500 (k=1): Train 4.2269, Val 4.2139
Neon213-Muon-Growth | Step 2750 (k=1): Train 4.1532, Val 4.1611
Neon213-Muon-Growth | Step 3000 (k=1): Train 4.2063, Val 4.1289
Neon213-Muon-Growth | Step 3250 (k=1): Train 4.1698, Val 4.0917
Neon213-Muon-Growth | Step 3500 (k=1): Train 4.0717, Val 4.0661
Neon213-Muon-Growth | Step 3750 (k=1): Train 4.0797, Val 4.0420
Neon213-Muon-Growth | Step 4000 (k=1): Train 4.0919, Val 4.0184
Neon213-Muon-Growth | Step 4250 (k=1): Train 4.0145, Val 4.0060
Neon213-Muon-Growth | Step 4500 (k=1): Train 4.0385, Val 3.9798
Neon213-Muon-Growth | Step 4750 (k=1): Train 4.0456, Val 3.9775
Neon213-Muon-Growth | Step 5000 (k=1): Train 4.0600, Val 3.9697
Neon213-Muon-Growth | Step 5250 (k=3): Train 4.1751, Val 4.1220
Neon213-Muon-Growth | Step 5500 (k=3): Train 4.0183, Val 4.0842
Neon213-Muon-Growth | Step 5750 (k=3): Train 4.0066, Val 4.0420
Neon213-Muon-Growth | Step 6000 (k=3): Train 3.9867, Val 4.0191
Neon213-Muon-Growth | Step 6250 (k=3): Train 3.9377, Val 3.9808
Neon213-Muon-Growth | Step 6500 (k=3): Train 4.0910, Val 3.9583
Neon213-Muon-Growth | Step 6750 (k=3): Train 3.9057, Val 3.9356
Neon213-Muon-Growth | Step 7000 (k=3): Train 3.9087, Val 3.9018
Neon213-Muon-Growth | Step 7250 (k=3): Train 3.9089, Val 3.8832
Neon213-Muon-Growth | Step 7500 (k=3): Train 3.8940, Val 3.8565
Neon213-Muon-Growth | Step 7750 (k=3): Train 3.8659, Val 3.8388
Neon213-Muon-Growth | Step 8000 (k=3): Train 3.8953, Val 3.8437
Neon213-Muon-Growth | Step 8250 (k=5): Train 4.0188, Val 3.9621
Neon213-Muon-Growth | Step 8500 (k=5): Train 4.0351, Val 3.9511
Neon213-Muon-Growth | Step 8750 (k=5): Train 3.9559, Val 3.9150
Neon213-Muon-Growth | Step 9000 (k=5): Train 3.8623, Val 3.8975
Neon213-Muon-Growth | Step 9250 (k=5): Train 3.8184, Val 3.8615
Neon213-Muon-Growth | Step 9500 (k=5): Train 3.8997, Val 3.8474
Neon213-Muon-Growth | Step 9750 (k=5): Train 3.9489, Val 3.8343
Neon213-Muon-Growth | Step 10000 (k=5): Train 3.8970, Val 3.8008
Neon213-Muon-Growth | Step 10250 (k=5): Train 3.7985, Val 3.7791
Neon213-Muon-Growth | Step 10500 (k=5): Train 3.7768, Val 3.7782
Neon213-Muon-Growth | Step 10750 (k=5): Train 3.6965, Val 3.7629
Neon213-Muon-Growth | Step 11000 (k=5): Train 3.8159, Val 3.7507
Neon213-Muon-Growth | Step 11250 (k=7): Train 3.9541, Val 3.8764
Neon213-Muon-Growth | Step 11500 (k=7): Train 3.8710, Val 3.8526
Neon213-Muon-Growth | Step 11750 (k=7): Train 3.8781, Val 3.8332
Neon213-Muon-Growth | Step 12000 (k=7): Train 3.7737, Val 3.8346
Neon213-Muon-Growth | Step 12250 (k=7): Train 3.7302, Val 3.7992
Neon213-Muon-Growth | Step 12500 (k=7): Train 3.7754, Val 3.7841
Neon213-Muon-Growth | Step 12750 (k=7): Train 3.7550, Val 3.7548
Neon213-Muon-Growth | Step 13000 (k=7): Train 3.7661, Val 3.7333
Neon213-Muon-Growth | Step 13250 (k=7): Train 3.7041, Val 3.7216
Neon213-Muon-Growth | Step 13500 (k=7): Train 3.7842, Val 3.7073
Neon213-Muon-Growth | Step 13750 (k=7): Train 3.6143, Val 3.6925
Neon213-Muon-Growth | Step 14000 (k=7): Train 3.8228, Val 3.6992
Neon213-Muon-Growth | Step 14250 (k=9): Train 3.8433, Val 3.8053
Neon213-Muon-Growth | Step 14500 (k=9): Train 3.7857, Val 3.7913
Neon213-Muon-Growth | Step 14750 (k=9): Train 3.8172, Val 3.7707
Neon213-Muon-Growth | Step 15000 (k=9): Train 3.7940, Val 3.7567
Neon213-Muon-Growth | Step 15250 (k=9): Train 3.6738, Val 3.7447
Neon213-Muon-Growth | Step 15500 (k=9): Train 3.8302, Val 3.7181
Neon213-Muon-Growth | Step 15750 (k=9): Train 3.7294, Val 3.7079
Neon213-Muon-Growth | Step 16000 (k=9): Train 3.6612, Val 3.6951
Neon213-Muon-Growth | Step 16250 (k=9): Train 3.7415, Val 3.6758
Neon213-Muon-Growth | Step 16500 (k=9): Train 3.7299, Val 3.6523
Neon213-Muon-Growth | Step 16750 (k=9): Train 3.7659, Val 3.6598
Neon213-Muon-Growth | Step 17000 (k=9): Train 3.6478, Val 3.6338
Neon213-Muon-Growth | Step 17250 (k=11): Train 3.7818, Val 3.7582
Neon213-Muon-Growth | Step 17500 (k=11): Train 3.7806, Val 3.7478
Neon213-Muon-Growth | Step 17750 (k=11): Train 3.7592, Val 3.7432
Neon213-Muon-Growth | Step 18000 (k=11): Train 3.7528, Val 3.7238
Neon213-Muon-Growth | Step 18250 (k=11): Train 3.6957, Val 3.6968
Neon213-Muon-Growth | Step 18500 (k=11): Train 3.6722, Val 3.6945
Neon213-Muon-Growth | Step 18750 (k=11): Train 3.7277, Val 3.6652
Neon213-Muon-Growth | Step 19000 (k=11): Train 3.5951, Val 3.6425
Neon213-Muon-Growth | Step 19250 (k=11): Train 3.6691, Val 3.6410
Neon213-Muon-Growth | Step 19500 (k=11): Train 3.5761, Val 3.6429
Neon213-Muon-Growth | Step 19750 (k=11): Train 3.6363, Val 3.6181
Neon213-Muon-Growth | Step 20000 (k=11): Train 3.7556, Val 3.6174
Neon213-Muon-Growth | Step 20250 (k=13): Train 3.6699, Val 3.7187
Neon213-Muon-Growth | Step 20500 (k=13): Train 3.6621, Val 3.7086
Neon213-Muon-Growth | Step 20750 (k=13): Train 3.7786, Val 3.6996
