Neon213 Muon Long | Step 250: Train 3.6012, Val 3.5554
Neon213 Muon Long | Step 500: Train 3.5055, Val 3.5516
Neon213 Muon Long | Step 750: Train 3.5842, Val 3.5533
Neon213 Muon Long | Step 1000: Train 3.5426, Val 3.5432
Neon213 Muon Long | Step 1250: Train 3.4461, Val 3.5438
Neon213 Muon Long | Step 1500: Train 3.5397, Val 3.5447
Neon213 Muon Long | Step 1750: Train 3.5542, Val 3.5391
Neon213 Muon Long | Step 2000: Train 3.5854, Val 3.5288
Neon213 Muon Long | Step 2250: Train 3.5852, Val 3.5534
Neon213 Muon Long | Step 2500: Train 3.5911, Val 3.5409
Neon213 Muon Long | Step 2750: Train 3.6362, Val 3.5475
Neon213 Muon Long | Step 3000: Train 3.5476, Val 3.5376
Neon213 Muon Long | Step 3250: Train 3.5524, Val 3.5447
Neon213 Muon Long | Step 3500: Train 3.6045, Val 3.5321
Neon213 Muon Long | Step 3750: Train 3.5157, Val 3.5327
Neon213 Muon Long | Step 4000: Train 3.5286, Val 3.5349
Neon213 Muon Long | Step 4250: Train 3.5430, Val 3.5358
Neon213 Muon Long | Step 4500: Train 3.5125, Val 3.5239
Neon213 Muon Long | Step 4750: Train 3.5479, Val 3.5305
Neon213 Muon Long | Step 5000: Train 3.5706, Val 3.5414
Neon213 Muon Long | Step 5250: Train 3.5863, Val 3.5379
Neon213 Muon Long | Step 5500: Train 3.4964, Val 3.5348
Neon213 Muon Long | Step 5750: Train 3.4747, Val 3.5147
Neon213 Muon Long | Step 6000: Train 3.4756, Val 3.5211
Neon213 Muon Long | Step 6250: Train 3.4774, Val 3.5260
Neon213 Muon Long | Step 6500: Train 3.5815, Val 3.5216
Neon213 Muon Long | Step 6750: Train 3.4454, Val 3.5270
Neon213 Muon Long | Step 7000: Train 3.4885, Val 3.5234
Neon213 Muon Long | Step 7250: Train 3.5102, Val 3.5250
Neon213 Muon Long | Step 7500: Train 3.5177, Val 3.5244
Neon213 Muon Long | Step 7750: Train 3.5905, Val 3.5175
Neon213 Muon Long | Step 8000: Train 3.6128, Val 3.5279
Neon213 Muon Long | Step 8250: Train 3.4745, Val 3.5156
Neon213 Muon Long | Step 8500: Train 3.4900, Val 3.5183
Neon213 Muon Long | Step 8750: Train 3.5006, Val 3.5176
Neon213 Muon Long | Step 9000: Train 3.4603, Val 3.5139
Neon213 Muon Long | Step 9250: Train 3.5473, Val 3.5120
Neon213 Muon Long | Step 9500: Train 3.5668, Val 3.5193
Neon213 Muon Long | Step 9750: Train 3.4761, Val 3.5144
Neon213 Muon Long | Step 10000: Train 3.5219, Val 3.5152
Neon213 Muon Long | Step 10250: Train 3.6216, Val 3.5133
Neon213 Muon Long | Step 10500: Train 3.4555, Val 3.4950
Neon213 Muon Long | Step 10750: Train 3.4510, Val 3.5065
Neon213 Muon Long | Step 11000: Train 3.5027, Val 3.5010
Neon213 Muon Long | Step 11250: Train 3.4927, Val 3.4844
Neon213 Muon Long | Step 11500: Train 3.5304, Val 3.5110
Neon213 Muon Long | Step 11750: Train 3.5331, Val 3.5032
Neon213 Muon Long | Step 12000: Train 3.4709, Val 3.5121
Neon213 Muon Long | Step 12250: Train 3.4519, Val 3.5068
Neon213 Muon Long | Step 12500: Train 3.5366, Val 3.4988
Neon213 Muon Long | Step 12750: Train 3.4769, Val 3.5176
Neon213 Muon Long | Step 13000: Train 3.4372, Val 3.4835
Neon213 Muon Long | Step 13250: Train 3.4911, Val 3.4829
Neon213 Muon Long | Step 13500: Train 3.4931, Val 3.5029
Neon213 Muon Long | Step 13750: Train 3.5269, Val 3.4796
Neon213 Muon Long | Step 14000: Train 3.5050, Val 3.4947
Neon213 Muon Long | Step 14250: Train 3.4690, Val 3.4915
Neon213 Muon Long | Step 14500: Train 3.3920, Val 3.4779
Neon213 Muon Long | Step 14750: Train 3.4488, Val 3.4955
Neon213 Muon Long | Step 15000: Train 3.5259, Val 3.4830
Neon213 Muon Long | Step 15250: Train 3.4562, Val 3.4942
Neon213 Muon Long | Step 15500: Train 3.4811, Val 3.4920
Neon213 Muon Long | Step 15750: Train 3.4819, Val 3.4936
Neon213 Muon Long | Step 16000: Train 3.5006, Val 3.4910
Neon213 Muon Long | Step 16250: Train 3.4210, Val 3.4907
Neon213 Muon Long | Step 16500: Train 3.4521, Val 3.4863
Neon213 Muon Long | Step 16750: Train 3.4789, Val 3.4831
Neon213 Muon Long | Step 17000: Train 3.4335, Val 3.4790
