Turbo Stage 11 | Step 34250: Train 3.5733, Val 3.5772 (k=13)
Turbo Stage 11 | Step 34500: Train 3.5437, Val 3.5787 (k=13)
Turbo Stage 11 | Step 34750: Train 3.5479, Val 3.5814 (k=13)
Turbo Stage 11 | Step 35000: Train 3.4587, Val 3.5751 (k=13)
Turbo Stage 11 | Step 35250: Train 3.6163, Val 3.5756 (k=13)
Turbo Stage 11 | Step 35500: Train 3.5801, Val 3.5709 (k=13)
Turbo Stage 11 | Step 35750: Train 3.4499, Val 3.5801 (k=13)
Turbo Stage 11 | Step 36000: Train 3.5489, Val 3.5575 (k=13)
Turbo Stage 11 | Step 36250: Train 3.5475, Val 3.5714 (k=13)
Turbo Stage 11 | Step 36500: Train 3.5069, Val 3.5665 (k=13)
Turbo Stage 11 | Step 36750: Train 3.5209, Val 3.5677 (k=13)
Turbo Stage 11 | Step 37000: Train 3.4477, Val 3.5765 (k=13)
Turbo Stage 12 | Step 37250: Train 3.6135, Val 3.5650 (k=15)
Turbo Stage 12 | Step 37500: Train 3.4403, Val 3.5486 (k=15)
Turbo Stage 12 | Step 37750: Train 3.5564, Val 3.5688 (k=15)
Turbo Stage 12 | Step 38000: Train 3.5537, Val 3.5596 (k=15)
Turbo Stage 12 | Step 38250: Train 3.5946, Val 3.5583 (k=15)
Turbo Stage 12 | Step 38500: Train 3.5701, Val 3.5740 (k=15)
Turbo Stage 12 | Step 38750: Train 3.5131, Val 3.5584 (k=15)
Turbo Stage 12 | Step 39000: Train 3.4758, Val 3.5695 (k=15)
Turbo Stage 12 | Step 39250: Train 3.6176, Val 3.5553 (k=15)
Turbo Stage 12 | Step 39500: Train 3.4694, Val 3.5557 (k=15)
Turbo Stage 12 | Step 39750: Train 3.6116, Val 3.5736 (k=15)
Turbo Stage 12 | Step 40000: Train 3.4534, Val 3.5579 (k=15)
Turbo Stage 13 | Step 40250: Train 3.5448, Val 3.5647 (k=17)
Turbo Stage 13 | Step 40500: Train 3.5567, Val 3.5679 (k=17)
Turbo Stage 13 | Step 40750: Train 3.6744, Val 3.5569 (k=17)
Turbo Stage 13 | Step 41000: Train 3.4782, Val 3.5554 (k=17)
Turbo Stage 13 | Step 41250: Train 3.4631, Val 3.5550 (k=17)
Turbo Stage 13 | Step 41500: Train 3.6536, Val 3.5538 (k=17)
Turbo Stage 13 | Step 41750: Train 3.6357, Val 3.5578 (k=17)
Turbo Stage 13 | Step 42000: Train 3.5341, Val 3.5395 (k=17)
Turbo Stage 13 | Step 42250: Train 3.4854, Val 3.5528 (k=17)
Turbo Stage 13 | Step 42500: Train 3.5032, Val 3.5438 (k=17)
Turbo Stage 13 | Step 42750: Train 3.5521, Val 3.5603 (k=17)
Turbo Stage 13 | Step 43000: Train 3.5864, Val 3.5452 (k=17)
Turbo Stage 14 | Step 43250: Train 3.5070, Val 3.5420 (k=19)
Turbo Stage 14 | Step 43500: Train 3.4708, Val 3.5518 (k=19)
Turbo Stage 14 | Step 43750: Train 3.4921, Val 3.5430 (k=19)
Turbo Stage 14 | Step 44000: Train 3.5262, Val 3.5465 (k=19)
Turbo Stage 14 | Step 44250: Train 3.5520, Val 3.5485 (k=19)
Turbo Stage 14 | Step 44500: Train 3.6030, Val 3.5558 (k=19)
Turbo Stage 14 | Step 44750: Train 3.5176, Val 3.5357 (k=19)
Turbo Stage 14 | Step 45000: Train 3.4949, Val 3.5412 (k=19)
Turbo Stage 14 | Step 45250: Train 3.5673, Val 3.5465 (k=19)
Turbo Stage 14 | Step 45500: Train 3.5287, Val 3.5536 (k=19)
Turbo Stage 14 | Step 45750: Train 3.4878, Val 3.5438 (k=19)
Turbo Stage 14 | Step 46000: Train 3.5492, Val 3.5424 (k=19)
Turbo Stage 15 | Step 46250: Train 3.5702, Val 3.5426 (k=21)
Turbo Stage 15 | Step 46500: Train 3.5534, Val 3.5396 (k=21)
Turbo Stage 15 | Step 46750: Train 3.5574, Val 3.5355 (k=21)
Turbo Stage 15 | Step 47000: Train 3.5185, Val 3.5398 (k=21)
Turbo Stage 15 | Step 47250: Train 3.4490, Val 3.5389 (k=21)
Turbo Stage 15 | Step 47500: Train 3.5038, Val 3.5418 (k=21)
Turbo Stage 15 | Step 47750: Train 3.5997, Val 3.5377 (k=21)
Turbo Stage 15 | Step 48000: Train 3.5971, Val 3.5442 (k=21)
Turbo Stage 15 | Step 48250: Train 3.5353, Val 3.5333 (k=21)
Turbo Stage 15 | Step 48500: Train 3.6507, Val 3.5338 (k=21)
Turbo Stage 15 | Step 48750: Train 3.4770, Val 3.5354 (k=21)
Turbo Stage 15 | Step 49000: Train 3.5229, Val 3.5366 (k=21)
Turbo Stage 15 | Step 49250: Train 3.4529, Val 3.5260 (k=21)
Turbo Stage 15 | Step 49500: Train 3.5019, Val 3.5359 (k=21)
Turbo Stage 15 | Step 49750: Train 3.5254, Val 3.5311 (k=21)
Turbo Stage 15 | Step 50000: Train 3.5081, Val 3.5301 (k=21)
Turbo Stage 15 | Step 50250: Train 3.5362, Val 3.5358 (k=21)
Turbo Stage 15 | Step 50500: Train 3.5198, Val 3.5246 (k=21)
Turbo Stage 15 | Step 50750: Train 3.5706, Val 3.5088 (k=21)
Turbo Stage 15 | Step 51000: Train 3.4542, Val 3.5309 (k=21)
