Neon214 S1 | Step 250: Train 9.7608, Val 9.7547 (8L)
Neon214 S1 | Step 500: Train 9.5540, Val 9.5536 (8L)
Neon214 S1 | Step 750: Train 9.3810, Val 9.3619 (8L)
Neon214 S1 | Step 1000: Train 9.2144, Val 9.2228 (8L)
Neon214 S1 | Step 1250: Train 9.1271, Val 9.1367 (8L)
Neon214 S1 | Step 1500: Train 9.0785, Val 9.0666 (8L)
Neon214 S1 | Step 1750: Train 9.0223, Val 9.0263 (8L)
Neon214 S1 | Step 2000: Train 8.9393, Val 8.9796 (8L)
Neon214 S1 | Step 2250: Train 8.9178, Val 8.9230 (8L)
Neon214 S1 | Step 2500: Train 8.8456, Val 8.8648 (8L)
Neon214 S1 | Step 2750: Train 8.8348, Val 8.8141 (8L)
Neon214 S1 | Step 3000: Train 8.7962, Val 8.7653 (8L)
Neon214 S1 | Step 3250: Train 8.6895, Val 8.7124 (8L)
Neon214 S1 | Step 3500: Train 8.6632, Val 8.6679 (8L)
Neon214 S1 | Step 3750: Train 8.5887, Val 8.6242 (8L)
Neon214 S1 | Step 4000: Train 8.5706, Val 8.5881 (8L)
Neon214 S1 | Step 4250: Train 8.5610, Val 8.5494 (8L)
Neon214 S1 | Step 4500: Train 8.5148, Val 8.5021 (8L)
Neon214 S1 | Step 4750: Train 8.4542, Val 8.4594 (8L)
Neon214 S1 | Step 5000: Train 8.4540, Val 8.4317 (8L)
Neon214 S2 | Step 5250: Train 8.4544, Val 8.4870 (16L)
Neon214 S2 | Step 5500: Train 8.4287, Val 8.4178 (16L)
Neon214 S2 | Step 5750: Train 8.4090, Val 8.3721 (16L)
Neon214 S2 | Step 6000: Train 8.3488, Val 8.3407 (16L)
Neon214 S2 | Step 6250: Train 8.2566, Val 8.3153 (16L)
Neon214 S2 | Step 6500: Train 8.2166, Val 8.2771 (16L)
Neon214 S2 | Step 6750: Train 8.2674, Val 8.2586 (16L)
Neon214 S2 | Step 7000: Train 8.2205, Val 8.2305 (16L)
Neon214 S2 | Step 7250: Train 8.2487, Val 8.1955 (16L)
Neon214 S2 | Step 7500: Train 8.1446, Val 8.1716 (16L)
Neon214 S2 | Step 7750: Train 8.1131, Val 8.1497 (16L)
Neon214 S2 | Step 8000: Train 8.2075, Val 8.1239 (16L)
Neon214 S2 | Step 8250: Train 8.0772, Val 8.1022 (16L)
Neon214 S2 | Step 8500: Train 8.0743, Val 8.0756 (16L)
Neon214 S2 | Step 8750: Train 8.0946, Val 8.0497 (16L)
Neon214 S2 | Step 9000: Train 8.1332, Val 8.0344 (16L)
Neon214 S2 | Step 9250: Train 8.0410, Val 8.0134 (16L)
Neon214 S2 | Step 9500: Train 8.0315, Val 7.9884 (16L)
Neon214 S2 | Step 9750: Train 8.0314, Val 7.9727 (16L)
Neon214 S2 | Step 10000: Train 7.8649, Val 7.9446 (16L)
Neon214 S3 | Step 10250: Train 7.9761, Val 7.9502 (24L)
Neon214 S3 | Step 10500: Train 7.9481, Val 7.9087 (24L)
Neon214 S3 | Step 10750: Train 7.8865, Val 7.9036 (24L)
Neon214 S3 | Step 11000: Train 7.8904, Val 7.8928 (24L)
Neon214 S3 | Step 11250: Train 7.8710, Val 7.8588 (24L)
Neon214 S3 | Step 11500: Train 7.8654, Val 7.8541 (24L)
Neon214 S3 | Step 11750: Train 7.7422, Val 7.8347 (24L)
Neon214 S3 | Step 12000: Train 7.8194, Val 7.8117 (24L)
Neon214 S3 | Step 12250: Train 7.7943, Val 7.7983 (24L)
Neon214 S3 | Step 12500: Train 7.7365, Val 7.7880 (24L)
Neon214 S3 | Step 12750: Train 7.8548, Val 7.7615 (24L)
Neon214 S3 | Step 13000: Train 7.7911, Val 7.7328 (24L)
Neon214 S3 | Step 13250: Train 7.7878, Val 7.7285 (24L)
Neon214 S3 | Step 13500: Train 7.7400, Val 7.7013 (24L)
Neon214 S3 | Step 13750: Train 7.7362, Val 7.6897 (24L)
Neon214 S3 | Step 14000: Train 7.6536, Val 7.6608 (24L)
Neon214 S3 | Step 14250: Train 7.7236, Val 7.6542 (24L)
Neon214 S3 | Step 14500: Train 7.6261, Val 7.6378 (24L)
Neon214 S3 | Step 14750: Train 7.5692, Val 7.6206 (24L)
Neon214 S3 | Step 15000: Train 7.5825, Val 7.5975 (24L)
Neon214 S4 | Step 15250: Train 7.5896, Val 7.6071 (32L)
Neon214 S4 | Step 15500: Train 7.5626, Val 7.5849 (32L)
Neon214 S4 | Step 15750: Train 7.6003, Val 7.5886 (32L)
Neon214 S4 | Step 16000: Train 7.5587, Val 7.5844 (32L)
Neon214 S4 | Step 16250: Train 7.5617, Val 7.5777 (32L)
Neon214 S4 | Step 16500: Train 7.6444, Val 7.5559 (32L)
Neon214 S4 | Step 16750: Train 7.5792, Val 7.5584 (32L)
Neon214 S4 | Step 17000: Train 7.4889, Val 7.5449 (32L)
Neon214 S4 | Step 17250: Train 7.5687, Val 7.5442 (32L)
Neon214 S4 | Step 17500: Train 7.5281, Val 7.5291 (32L)
Neon214 S4 | Step 17750: Train 7.5425, Val 7.5152 (32L)
Neon214 S4 | Step 18000: Train 7.4747, Val 7.5253 (32L)
Neon214 S4 | Step 18250: Train 7.5422, Val 7.4960 (32L)
Neon214 S4 | Step 18500: Train 7.5892, Val 7.5042 (32L)
Neon214 S4 | Step 18750: Train 7.4678, Val 7.4882 (32L)
Neon214 S4 | Step 19000: Train 7.5029, Val 7.4810 (32L)
Neon214 S4 | Step 19250: Train 7.4643, Val 7.4739 (32L)
Neon214 S4 | Step 19500: Train 7.5105, Val 7.4793 (32L)
Neon214 S4 | Step 19750: Train 7.4724, Val 7.4648 (32L)
Neon214 S4 | Step 20000: Train 7.5131, Val 7.4532 (32L)
Neon214 S4 | Step 20250: Train 7.4008, Val 7.4494 (32L)
Neon214 S4 | Step 20500: Train 7.4162, Val 7.4406 (32L)
