Neon300 Discrete Halving Training Log
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Parameters: 44,049,920
Muon LR: 0.02, AdamW LR: 0.0003
Schedule: Plateau + Discrete Halving (last 3k steps)
Steps: 30000, Batch: 64, Seq: 512

Step 500: Train 5.9967, Val 5.9963, LR_mult 0.1663
Step 1000: Train 4.9939, Val 4.9635, LR_mult 0.3330
Step 1500: Train 4.4806, Val 4.4830, LR_mult 0.4997
Step 2000: Train 4.3109, Val 4.2435, LR_mult 0.6663
Step 2500: Train 4.0671, Val 4.0850, LR_mult 0.8330
Step 3000: Train 4.0177, Val 3.9747, LR_mult 0.9997
Step 3500: Train 3.8512, Val 3.8670, LR_mult 1.0000
Step 4000: Train 3.8656, Val 3.7906, LR_mult 1.0000
Step 4500: Train 3.8497, Val 3.7541, LR_mult 1.0000
Step 5000: Train 3.8226, Val 3.7115, LR_mult 1.0000
Step 5500: Train 3.7887, Val 3.6710, LR_mult 1.0000
Step 6000: Train 3.6126, Val 3.6428, LR_mult 1.0000
Step 6500: Train 3.6647, Val 3.6129, LR_mult 1.0000
Step 7000: Train 3.6621, Val 3.5906, LR_mult 1.0000
Step 7500: Train 3.5683, Val 3.5766, LR_mult 1.0000
Step 8000: Train 3.6219, Val 3.5638, LR_mult 1.0000
Step 8500: Train 3.6357, Val 3.5425, LR_mult 1.0000
Step 9000: Train 3.5936, Val 3.5231, LR_mult 1.0000
Step 9500: Train 3.5636, Val 3.5035, LR_mult 1.0000
Step 10000: Train 3.5148, Val 3.4919, LR_mult 1.0000
Step 10500: Train 3.5292, Val 3.4935, LR_mult 1.0000
Step 11000: Train 3.4841, Val 3.4806, LR_mult 1.0000
Step 11500: Train 3.5127, Val 3.4624, LR_mult 1.0000
Step 12000: Train 3.4010, Val 3.4667, LR_mult 1.0000
Step 12500: Train 3.4523, Val 3.4536, LR_mult 1.0000
Step 13000: Train 3.4179, Val 3.4504, LR_mult 1.0000
Step 13500: Train 3.5040, Val 3.4322, LR_mult 1.0000
Step 14000: Train 3.3792, Val 3.4270, LR_mult 1.0000
Step 14500: Train 3.5121, Val 3.4299, LR_mult 1.0000
Step 15000: Train 3.4175, Val 3.4176, LR_mult 1.0000
Step 15500: Train 3.4240, Val 3.4170, LR_mult 1.0000
Step 16000: Train 3.3272, Val 3.4001, LR_mult 1.0000
Step 16500: Train 3.4441, Val 3.3948, LR_mult 1.0000
Step 17000: Train 3.3832, Val 3.4051, LR_mult 1.0000
Step 17500: Train 3.4502, Val 3.3975, LR_mult 1.0000
Step 18000: Train 3.4189, Val 3.3912, LR_mult 1.0000
Step 18500: Train 3.3425, Val 3.3785, LR_mult 1.0000
Step 19000: Train 3.4128, Val 3.3752, LR_mult 1.0000
Step 19500: Train 3.4064, Val 3.3804, LR_mult 1.0000
Step 20000: Train 3.3813, Val 3.3679, LR_mult 1.0000
Step 20500: Train 3.2796, Val 3.3659, LR_mult 1.0000
Step 21000: Train 3.2839, Val 3.3599, LR_mult 1.0000
Step 21500: Train 3.3482, Val 3.3593, LR_mult 1.0000
Step 22000: Train 3.2460, Val 3.3563, LR_mult 1.0000
Step 22500: Train 3.3374, Val 3.3471, LR_mult 1.0000
Step 23000: Train 3.4112, Val 3.3501, LR_mult 1.0000
Step 23500: Train 3.3071, Val 3.3485, LR_mult 1.0000
Step 24000: Train 3.3583, Val 3.3259, LR_mult 1.0000
Step 24500: Train 3.3870, Val 3.3495, LR_mult 1.0000
Step 25000: Train 3.3614, Val 3.3396, LR_mult 1.0000
Step 25500: Train 3.3740, Val 3.3274, LR_mult 1.0000
Step 26000: Train 3.2801, Val 3.3333, LR_mult 1.0000
Step 26500: Train 3.4165, Val 3.3348, LR_mult 1.0000
Step 27000: Train 3.2819, Val 3.3377, LR_mult 1.0000
Step 27500: Train 3.2420, Val 3.2949, LR_mult 0.5000
Step 28000: Train 3.2457, Val 3.2783, LR_mult 0.2500
Step 28500: Train 3.2250, Val 3.2650, LR_mult 0.2500
Step 29000: Train 3.2385, Val 3.2543, LR_mult 0.1250
Step 29500: Train 3.1670, Val 3.2583, LR_mult 0.0625
Step 30000: Train 3.2212, Val 3.2499, LR_mult 0.0625
