Neon300 Training Log
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Parameters: 44,049,920
Muon LR: 0.02, AdamW LR: 0.0003
Schedule: Plateau (Trapezoid)
Steps: 30000, Batch: 64, Seq: 512

Step 500: Train 6.0131, Val 5.9899, LR_mult 0.166
Step 1000: Train 4.9744, Val 4.9447, LR_mult 0.333
Step 1500: Train 4.5586, Val 4.4942, LR_mult 0.500
Step 2000: Train 4.2843, Val 4.2494, LR_mult 0.666
Step 2500: Train 4.1328, Val 4.0971, LR_mult 0.833
Step 3000: Train 3.9705, Val 3.9784, LR_mult 1.000
Step 3500: Train 3.9177, Val 3.8797, LR_mult 1.000
Step 4000: Train 3.8320, Val 3.8008, LR_mult 1.000
Step 4500: Train 3.7808, Val 3.7490, LR_mult 1.000
Step 5000: Train 3.7124, Val 3.7010, LR_mult 1.000
Step 5500: Train 3.7311, Val 3.6706, LR_mult 1.000
Step 6000: Train 3.6125, Val 3.6576, LR_mult 1.000
Step 6500: Train 3.6249, Val 3.6183, LR_mult 1.000
Step 7000: Train 3.5800, Val 3.6081, LR_mult 1.000
Step 7500: Train 3.5768, Val 3.5743, LR_mult 1.000
Step 8000: Train 3.5541, Val 3.5649, LR_mult 1.000
Step 8500: Train 3.6121, Val 3.5448, LR_mult 1.000
Step 9000: Train 3.5586, Val 3.5316, LR_mult 1.000
Step 9500: Train 3.5467, Val 3.5158, LR_mult 1.000
Step 10000: Train 3.5750, Val 3.5011, LR_mult 1.000
Step 10500: Train 3.5089, Val 3.4867, LR_mult 1.000
Step 11000: Train 3.4695, Val 3.4794, LR_mult 1.000
Step 11500: Train 3.4701, Val 3.4777, LR_mult 1.000
Step 12000: Train 3.3818, Val 3.4686, LR_mult 1.000
Step 12500: Train 3.4434, Val 3.4579, LR_mult 1.000
Step 13000: Train 3.4271, Val 3.4518, LR_mult 1.000
Step 13500: Train 3.5132, Val 3.4339, LR_mult 1.000
Step 14000: Train 3.4308, Val 3.4454, LR_mult 1.000
Step 14500: Train 3.4921, Val 3.4238, LR_mult 1.000
Step 15000: Train 3.3970, Val 3.4127, LR_mult 1.000
Step 15500: Train 3.5634, Val 3.4133, LR_mult 1.000
Step 16000: Train 3.4155, Val 3.4139, LR_mult 1.000
Step 16500: Train 3.4139, Val 3.4115, LR_mult 1.000
Step 17000: Train 3.4344, Val 3.3935, LR_mult 1.000
Step 17500: Train 3.3145, Val 3.3876, LR_mult 1.000
Step 18000: Train 3.3342, Val 3.3944, LR_mult 1.000
Step 18500: Train 3.3607, Val 3.3857, LR_mult 1.000
Step 19000: Train 3.4262, Val 3.3769, LR_mult 1.000
Step 19500: Train 3.4423, Val 3.3758, LR_mult 1.000
Step 20000: Train 3.3967, Val 3.3701, LR_mult 1.000
Step 20500: Train 3.2864, Val 3.3642, LR_mult 1.000
Step 21000: Train 3.3096, Val 3.3604, LR_mult 1.000
Step 21500: Train 3.3650, Val 3.3597, LR_mult 1.000
Step 22000: Train 3.4631, Val 3.3593, LR_mult 1.000
Step 22500: Train 3.3733, Val 3.3540, LR_mult 1.000
Step 23000: Train 3.3666, Val 3.3480, LR_mult 1.000
Step 23500: Train 3.3403, Val 3.3482, LR_mult 1.000
Step 24000: Train 3.3503, Val 3.3510, LR_mult 1.000
Step 24500: Train 3.3483, Val 3.3549, LR_mult 1.000
Step 25000: Train 3.3298, Val 3.3423, LR_mult 1.000
Step 25500: Train 3.3119, Val 3.3394, LR_mult 1.000
Step 26000: Train 3.3408, Val 3.3242, LR_mult 1.000
Step 26500: Train 3.2579, Val 3.3242, LR_mult 1.000
Step 27000: Train 3.3021, Val 3.3355, LR_mult 1.000
Step 27500: Train 3.3823, Val 3.3050, LR_mult 0.850
Step 28000: Train 3.2652, Val 3.2897, LR_mult 0.700
Step 28500: Train 3.1547, Val 3.2824, LR_mult 0.550
Step 29000: Train 3.2225, Val 3.2776, LR_mult 0.400
Step 29500: Train 3.2844, Val 3.2668, LR_mult 0.250
Step 30000: Train 3.2443, Val 3.2495, LR_mult 0.100
