Neon303 Training Log (Stable MGS)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Steps: 30000, Batch: 32

Step 500: Train 3.0062, Val 5.9661, LR_mult 0.166
Step 1000: Train 2.4917, Val 4.9477, LR_mult 0.333
Step 1500: Train 2.2419, Val 4.4674, LR_mult 0.500
Step 2000: Train 2.1429, Val 4.2133, LR_mult 0.666
Step 2500: Train 2.0344, Val 4.0428, LR_mult 0.833
Step 3000: Train 2.0284, Val 3.9273, LR_mult 1.000
Step 3500: Train 1.9971, Val 3.8460, LR_mult 1.000
Step 4000: Train 1.8976, Val 3.7828, LR_mult 1.000
Step 4500: Train 1.8787, Val 3.7107, LR_mult 1.000
Step 5000: Train 1.8756, Val 3.6728, LR_mult 1.000
Step 5500: Train 1.7866, Val 3.6334, LR_mult 1.000
Step 6000: Train 1.8992, Val 3.6412, LR_mult 1.000
Step 6500: Train 1.8020, Val 3.6006, LR_mult 1.000
Step 7000: Train 1.7968, Val 3.5492, LR_mult 1.000
Step 7500: Train 1.7695, Val 3.5585, LR_mult 1.000
Step 8000: Train 1.7769, Val 3.5299, LR_mult 1.000
Step 8500: Train 1.7592, Val 3.5205, LR_mult 1.000
Step 9000: Train 1.7662, Val 3.4791, LR_mult 1.000
Step 9500: Train 1.7630, Val 3.5215, LR_mult 1.000
Step 10000: Train 1.7656, Val 3.4868, LR_mult 1.000
Step 10500: Train 1.7032, Val 3.4696, LR_mult 1.000
Step 11000: Train 1.6640, Val 3.4520, LR_mult 1.000
Step 11500: Train 1.6787, Val 3.4615, LR_mult 1.000
Step 12000: Train 1.7527, Val 3.4443, LR_mult 1.000
Step 12500: Train 1.7121, Val 3.4165, LR_mult 1.000
Step 13000: Train 1.6785, Val 3.4186, LR_mult 1.000
Step 13500: Train 1.7155, Val 3.4168, LR_mult 1.000
Step 14000: Train 1.6957, Val 3.4055, LR_mult 1.000
Step 14500: Train 1.6430, Val 3.4072, LR_mult 1.000
Step 15000: Train 1.7184, Val 3.3948, LR_mult 1.000
Step 15500: Train 1.6974, Val 3.4005, LR_mult 1.000
Step 16000: Train 1.6705, Val 3.4061, LR_mult 1.000
Step 16500: Train 1.7498, Val 3.3980, LR_mult 1.000
Step 17000: Train 1.6909, Val 3.3913, LR_mult 1.000
Step 17500: Train 1.6687, Val 3.3722, LR_mult 1.000
Step 18000: Train 1.6939, Val 3.3828, LR_mult 1.000
Step 18500: Train 1.6702, Val 3.3529, LR_mult 1.000
Step 19000: Train 1.6838, Val 3.3769, LR_mult 1.000
Step 19500: Train 1.6608, Val 3.3533, LR_mult 1.000
Step 20000: Train 1.6823, Val 3.3538, LR_mult 1.000
Step 20500: Train 1.6773, Val 3.3416, LR_mult 1.000
Step 21000: Train 1.6379, Val 3.3437, LR_mult 1.000
Step 21500: Train 1.6864, Val 3.3552, LR_mult 1.000
Step 22000: Train 1.6153, Val 3.3426, LR_mult 1.000
Step 22500: Train 1.6369, Val 3.3382, LR_mult 1.000
Step 23000: Train 1.6968, Val 3.3201, LR_mult 1.000
Step 23500: Train 1.6318, Val 3.3299, LR_mult 1.000
Step 24000: Train 1.5986, Val 3.3138, LR_mult 1.000
Step 24500: Train 1.6682, Val 3.3209, LR_mult 1.000
Step 25000: Train 1.6621, Val 3.3235, LR_mult 1.000
Step 25500: Train 1.6062, Val 3.3080, LR_mult 1.000
Step 26000: Train 1.6110, Val 3.3182, LR_mult 1.000
Step 26500: Train 1.6741, Val 3.3210, LR_mult 1.000
Step 27000: Train 1.6251, Val 3.3024, LR_mult 1.000
Step 27500: Train 1.6075, Val 3.2899, LR_mult 0.850
Step 28000: Train 1.6599, Val 3.2758, LR_mult 0.700
Step 28500: Train 1.6092, Val 3.2702, LR_mult 0.550
Step 29000: Train 1.6206, Val 3.2468, LR_mult 0.400
Step 29500: Train 1.5943, Val 3.2578, LR_mult 0.250
Step 30000: Train 1.5894, Val 3.2320, LR_mult 0.100
