Neon304 Training Log (Localized Orthogonality)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Steps: 30000, Batch: 64

Step 500: Train 5.9985, Val 5.9768, LR_mult 0.166
Step 1000: Train 4.9794, Val 4.9618, LR_mult 0.333
Step 1500: Train 4.5424, Val 4.4935, LR_mult 0.500
Step 2000: Train 4.2708, Val 4.2431, LR_mult 0.666
Step 2500: Train 4.0712, Val 4.0758, LR_mult 0.833
Step 3000: Train 3.9407, Val 3.9697, LR_mult 1.000
Step 3500: Train 3.9501, Val 3.8638, LR_mult 1.000
Step 4000: Train 3.8045, Val 3.8048, LR_mult 1.000
Step 4500: Train 3.7179, Val 3.7343, LR_mult 1.000
Step 5000: Train 3.7744, Val 3.6993, LR_mult 1.000
Step 5500: Train 3.6495, Val 3.6551, LR_mult 1.000
Step 6000: Train 3.6571, Val 3.6373, LR_mult 1.000
Step 6500: Train 3.6521, Val 3.6059, LR_mult 1.000
Step 7000: Train 3.6506, Val 3.5825, LR_mult 1.000
Step 7500: Train 3.5491, Val 3.5682, LR_mult 1.000
Step 8000: Train 3.4955, Val 3.5526, LR_mult 1.000
Step 8500: Train 3.5509, Val 3.5403, LR_mult 1.000
Step 9000: Train 3.4983, Val 3.5282, LR_mult 1.000
Step 9500: Train 3.4792, Val 3.5055, LR_mult 1.000
Step 10000: Train 3.5302, Val 3.5000, LR_mult 1.000
Step 10500: Train 3.5186, Val 3.4915, LR_mult 1.000
Step 11000: Train 3.4719, Val 3.4772, LR_mult 1.000
Step 11500: Train 3.4752, Val 3.4650, LR_mult 1.000
Step 12000: Train 3.5227, Val 3.4554, LR_mult 1.000
Step 12500: Train 3.4140, Val 3.4516, LR_mult 1.000
Step 13000: Train 3.4363, Val 3.4383, LR_mult 1.000
Step 13500: Train 3.4816, Val 3.4300, LR_mult 1.000
Step 14000: Train 3.3575, Val 3.4423, LR_mult 1.000
Step 14500: Train 3.3409, Val 3.4267, LR_mult 1.000
Step 15000: Train 3.3971, Val 3.4092, LR_mult 1.000
Step 15500: Train 3.4381, Val 3.4090, LR_mult 1.000
Step 16000: Train 3.3721, Val 3.4118, LR_mult 1.000
Step 16500: Train 3.3805, Val 3.3949, LR_mult 1.000
Step 17000: Train 3.3834, Val 3.3938, LR_mult 1.000
Step 17500: Train 3.4068, Val 3.3934, LR_mult 1.000
Step 18000: Train 3.3789, Val 3.3859, LR_mult 1.000
Step 18500: Train 3.4274, Val 3.3741, LR_mult 1.000
Step 19000: Train 3.4801, Val 3.3781, LR_mult 1.000
Step 19500: Train 3.3944, Val 3.3651, LR_mult 1.000
Step 20000: Train 3.4303, Val 3.3580, LR_mult 1.000
Step 20500: Train 3.3447, Val 3.3673, LR_mult 1.000
Step 21000: Train 3.3919, Val 3.3609, LR_mult 1.000
Step 21500: Train 3.4186, Val 3.3625, LR_mult 1.000
Step 22000: Train 3.3644, Val 3.3438, LR_mult 1.000
Step 22500: Train 3.3260, Val 3.3412, LR_mult 1.000
Step 23000: Train 3.3715, Val 3.3548, LR_mult 1.000
Step 23500: Train 3.3318, Val 3.3486, LR_mult 1.000
Step 24000: Train 3.2707, Val 3.3401, LR_mult 1.000
Step 24500: Train 3.4273, Val 3.3363, LR_mult 1.000
Step 25000: Train 3.3621, Val 3.3311, LR_mult 1.000
Step 25500: Train 3.3392, Val 3.3325, LR_mult 1.000
Step 26000: Train 3.3594, Val 3.3354, LR_mult 1.000
Step 26500: Train 3.2391, Val 3.3276, LR_mult 1.000
Step 27000: Train 3.3103, Val 3.3334, LR_mult 1.000
Step 27500: Train 3.3160, Val 3.3146, LR_mult 0.850
Step 28000: Train 3.2503, Val 3.3052, LR_mult 0.700
Step 28500: Train 3.2869, Val 3.2713, LR_mult 0.550
Step 29000: Train 3.3301, Val 3.2701, LR_mult 0.400
Step 29500: Train 3.1456, Val 3.2597, LR_mult 0.250
Step 30000: Train 3.2322, Val 3.2433, LR_mult 0.100
