Neon305 Training Log (Sliding Window GS, N=3)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512, 'window_size': 3}
Steps: 30000, Batch: 64

Step 500: Train 5.9780, Val 5.9823, LR_mult 0.166
Step 1000: Train 4.9294, Val 4.9236, LR_mult 0.333
Step 1500: Train 4.4865, Val 4.4831, LR_mult 0.500
Step 2000: Train 4.2873, Val 4.2120, LR_mult 0.666
Step 2500: Train 4.1928, Val 4.0492, LR_mult 0.833
Step 3000: Train 4.0190, Val 3.9361, LR_mult 1.000
Step 3500: Train 3.8657, Val 3.8462, LR_mult 1.000
Step 4000: Train 3.8014, Val 3.7827, LR_mult 1.000
Step 4500: Train 3.8033, Val 3.7248, LR_mult 1.000
Step 5000: Train 3.7803, Val 3.6950, LR_mult 1.000
Step 5500: Train 3.7050, Val 3.6361, LR_mult 1.000
Step 6000: Train 3.6047, Val 3.6215, LR_mult 1.000
Step 6500: Train 3.4916, Val 3.5980, LR_mult 1.000
Step 7000: Train 3.5942, Val 3.5821, LR_mult 1.000
Step 7500: Train 3.6189, Val 3.5521, LR_mult 1.000
Step 8000: Train 3.4427, Val 3.5393, LR_mult 1.000
Step 8500: Train 3.5140, Val 3.5224, LR_mult 1.000
Step 9000: Train 3.5124, Val 3.5116, LR_mult 1.000
Step 9500: Train 3.5716, Val 3.5006, LR_mult 1.000
Step 10000: Train 3.4559, Val 3.4904, LR_mult 1.000
Step 10500: Train 3.5574, Val 3.4742, LR_mult 1.000
Step 11000: Train 3.4942, Val 3.4707, LR_mult 1.000
Step 11500: Train 3.4110, Val 3.4641, LR_mult 1.000
Step 12000: Train 3.4313, Val 3.4458, LR_mult 1.000
Step 12500: Train 3.5232, Val 3.4451, LR_mult 1.000
Step 13000: Train 3.4719, Val 3.4280, LR_mult 1.000
Step 13500: Train 3.4520, Val 3.4343, LR_mult 1.000
Step 14000: Train 3.5155, Val 3.4176, LR_mult 1.000
Step 14500: Train 3.4441, Val 3.4099, LR_mult 1.000
Step 15000: Train 3.3985, Val 3.4048, LR_mult 1.000
Step 15500: Train 3.4037, Val 3.3951, LR_mult 1.000
Step 16000: Train 3.4565, Val 3.3915, LR_mult 1.000
Step 16500: Train 3.3927, Val 3.3857, LR_mult 1.000
Step 17000: Train 3.3929, Val 3.3922, LR_mult 1.000
Step 17500: Train 3.4297, Val 3.3807, LR_mult 1.000
Step 18000: Train 3.3929, Val 3.3833, LR_mult 1.000
Step 18500: Train 3.3680, Val 3.3747, LR_mult 1.000
Step 19000: Train 3.4238, Val 3.3794, LR_mult 1.000
Step 19500: Train 3.3926, Val 3.3664, LR_mult 1.000
Step 20000: Train 3.3807, Val 3.3499, LR_mult 1.000
Step 20500: Train 3.3979, Val 3.3401, LR_mult 1.000
Step 21000: Train 3.3391, Val 3.3467, LR_mult 1.000
Step 21500: Train 3.3784, Val 3.3517, LR_mult 1.000
Step 22000: Train 3.2993, Val 3.3481, LR_mult 1.000
Step 22500: Train 3.4012, Val 3.3434, LR_mult 1.000
Step 23000: Train 3.3262, Val 3.3354, LR_mult 1.000
Step 23500: Train 3.3738, Val 3.3453, LR_mult 1.000
Step 24000: Train 3.3537, Val 3.3250, LR_mult 1.000
Step 24500: Train 3.2846, Val 3.3221, LR_mult 1.000
Step 25000: Train 3.3102, Val 3.3157, LR_mult 1.000
Step 25500: Train 3.2579, Val 3.3266, LR_mult 1.000
Step 26000: Train 3.3467, Val 3.3265, LR_mult 1.000
Step 26500: Train 3.3407, Val 3.3264, LR_mult 1.000
Step 27000: Train 3.2895, Val 3.3067, LR_mult 1.000
Step 27500: Train 3.3787, Val 3.3042, LR_mult 0.850
Step 28000: Train 3.3076, Val 3.2866, LR_mult 0.700
Step 28500: Train 3.2038, Val 3.2683, LR_mult 0.550
Step 29000: Train 3.2342, Val 3.2635, LR_mult 0.400
Step 29500: Train 3.2990, Val 3.2479, LR_mult 0.250
Step 30000: Train 3.2825, Val 3.2379, LR_mult 0.100
