Neon306 Training Log (Intent-Space Ortho)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Steps: 30000, Batch: 64

Step 500: Train 6.0248, Val 5.9944, LR_mult 0.166
Step 1000: Train 5.0405, Val 4.9479, LR_mult 0.333
Step 1500: Train 4.5521, Val 4.4961, LR_mult 0.500
Step 2000: Train 4.3509, Val 4.2381, LR_mult 0.666
Step 2500: Train 4.1306, Val 4.0938, LR_mult 0.833
Step 3000: Train 4.0125, Val 3.9765, LR_mult 1.000
Step 3500: Train 3.8936, Val 3.8736, LR_mult 1.000
Step 4000: Train 3.8880, Val 3.8060, LR_mult 1.000
Step 4500: Train 3.8804, Val 3.7633, LR_mult 1.000
Step 5000: Train 3.8121, Val 3.7170, LR_mult 1.000
Step 5500: Train 3.6663, Val 3.6804, LR_mult 1.000
Step 6000: Train 3.7361, Val 3.6443, LR_mult 1.000
Step 6500: Train 3.7105, Val 3.6225, LR_mult 1.000
Step 7000: Train 3.7078, Val 3.6029, LR_mult 1.000
Step 7500: Train 3.5647, Val 3.5704, LR_mult 1.000
Step 8000: Train 3.5532, Val 3.5700, LR_mult 1.000
Step 8500: Train 3.6108, Val 3.5563, LR_mult 1.000
Step 9000: Train 3.5378, Val 3.5290, LR_mult 1.000
Step 9500: Train 3.5888, Val 3.5121, LR_mult 1.000
Step 10000: Train 3.5275, Val 3.5075, LR_mult 1.000
Step 10500: Train 3.5135, Val 3.4919, LR_mult 1.000
Step 11000: Train 3.4311, Val 3.4938, LR_mult 1.000
Step 11500: Train 3.4519, Val 3.4783, LR_mult 1.000
Step 12000: Train 3.5020, Val 3.4648, LR_mult 1.000
Step 12500: Train 3.4988, Val 3.4506, LR_mult 1.000
Step 13000: Train 3.4926, Val 3.4467, LR_mult 1.000
Step 13500: Train 3.4955, Val 3.4510, LR_mult 1.000
Step 14000: Train 3.4039, Val 3.4330, LR_mult 1.000
Step 14500: Train 3.4052, Val 3.4261, LR_mult 1.000
Step 15000: Train 3.4490, Val 3.4215, LR_mult 1.000
Step 15500: Train 3.4529, Val 3.4097, LR_mult 1.000
Step 16000: Train 3.4470, Val 3.4066, LR_mult 1.000
Step 16500: Train 3.3233, Val 3.3999, LR_mult 1.000
Step 17000: Train 3.4041, Val 3.4012, LR_mult 1.000
Step 17500: Train 3.5070, Val 3.3984, LR_mult 1.000
Step 18000: Train 3.4073, Val 3.3938, LR_mult 1.000
Step 18500: Train 3.3517, Val 3.3892, LR_mult 1.000
Step 19000: Train 3.3787, Val 3.3753, LR_mult 1.000
Step 19500: Train 3.4323, Val 3.3743, LR_mult 1.000
Step 20000: Train 3.2668, Val 3.3758, LR_mult 1.000
Step 20500: Train 3.3606, Val 3.3586, LR_mult 1.000
Step 21000: Train 3.3604, Val 3.3634, LR_mult 1.000
Step 21500: Train 3.3744, Val 3.3667, LR_mult 1.000
Step 22000: Train 3.4258, Val 3.3397, LR_mult 1.000
Step 22500: Train 3.3410, Val 3.3626, LR_mult 1.000
Step 23000: Train 3.3902, Val 3.3516, LR_mult 1.000
Step 23500: Train 3.3488, Val 3.3474, LR_mult 1.000
Step 24000: Train 3.3766, Val 3.3564, LR_mult 1.000
Step 24500: Train 3.3473, Val 3.3441, LR_mult 1.000
Step 25000: Train 3.3972, Val 3.3380, LR_mult 1.000
Step 25500: Train 3.2949, Val 3.3372, LR_mult 1.000
Step 26000: Train 3.3221, Val 3.3306, LR_mult 1.000
Step 26500: Train 3.3634, Val 3.3344, LR_mult 1.000
Step 27000: Train 3.3024, Val 3.3172, LR_mult 1.000
Step 27500: Train 3.4351, Val 3.3145, LR_mult 0.850
Step 28000: Train 3.3109, Val 3.2995, LR_mult 0.700
Step 28500: Train 3.2357, Val 3.2823, LR_mult 0.550
Step 29000: Train 3.2811, Val 3.2754, LR_mult 0.400
Step 29500: Train 3.2303, Val 3.2529, LR_mult 0.250
Step 30000: Train 3.1891, Val 3.2495, LR_mult 0.100
