Neon308 Training Log (Softmax+1 Silence)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Steps: 30000, Batch: 64

Step 500: Train 6.0682, Val 5.9841, LR_mult 0.166
Step 1000: Train 5.0184, Val 4.9427, LR_mult 0.333
Step 1500: Train 4.5594, Val 4.4881, LR_mult 0.500
Step 2000: Train 4.2961, Val 4.2471, LR_mult 0.666
Step 2500: Train 4.0580, Val 4.0830, LR_mult 0.833
Step 3000: Train 3.9981, Val 3.9763, LR_mult 1.000
Step 3500: Train 3.9479, Val 3.8798, LR_mult 1.000
Step 4000: Train 3.8440, Val 3.8164, LR_mult 1.000
Step 4500: Train 3.8709, Val 3.7575, LR_mult 1.000
Step 5000: Train 3.8020, Val 3.7235, LR_mult 1.000
Step 5500: Train 3.7087, Val 3.6806, LR_mult 1.000
Step 6000: Train 3.6658, Val 3.6439, LR_mult 1.000
Step 6500: Train 3.6241, Val 3.6187, LR_mult 1.000
Step 7000: Train 3.6549, Val 3.5936, LR_mult 1.000
Step 7500: Train 3.6009, Val 3.5776, LR_mult 1.000
Step 8000: Train 3.5672, Val 3.5643, LR_mult 1.000
Step 8500: Train 3.5317, Val 3.5468, LR_mult 1.000
Step 9000: Train 3.5195, Val 3.5258, LR_mult 1.000
Step 9500: Train 3.6010, Val 3.5124, LR_mult 1.000
Step 10000: Train 3.5151, Val 3.5186, LR_mult 1.000
Step 10500: Train 3.5264, Val 3.4906, LR_mult 1.000
Step 11000: Train 3.4792, Val 3.4977, LR_mult 1.000
Step 11500: Train 3.5395, Val 3.4777, LR_mult 1.000
Step 12000: Train 3.4523, Val 3.4672, LR_mult 1.000
Step 12500: Train 3.4397, Val 3.4611, LR_mult 1.000
Step 13000: Train 3.4382, Val 3.4423, LR_mult 1.000
Step 13500: Train 3.4203, Val 3.4444, LR_mult 1.000
Step 14000: Train 3.4751, Val 3.4355, LR_mult 1.000
Step 14500: Train 3.5174, Val 3.4339, LR_mult 1.000
Step 15000: Train 3.4296, Val 3.4334, LR_mult 1.000
Step 15500: Train 3.4019, Val 3.4259, LR_mult 1.000
Step 16000: Train 3.4180, Val 3.4160, LR_mult 1.000
Step 16500: Train 3.3232, Val 3.4090, LR_mult 1.000
Step 17000: Train 3.4536, Val 3.4025, LR_mult 1.000
Step 17500: Train 3.3997, Val 3.3946, LR_mult 1.000
Step 18000: Train 3.4799, Val 3.3982, LR_mult 1.000
Step 18500: Train 3.3744, Val 3.3875, LR_mult 1.000
Step 19000: Train 3.3381, Val 3.3888, LR_mult 1.000
Step 19500: Train 3.4065, Val 3.3850, LR_mult 1.000
Step 20000: Train 3.4326, Val 3.3814, LR_mult 1.000
Step 20500: Train 3.4160, Val 3.3665, LR_mult 1.000
Step 21000: Train 3.3923, Val 3.3690, LR_mult 1.000
Step 21500: Train 3.3964, Val 3.3632, LR_mult 1.000
Step 22000: Train 3.3309, Val 3.3536, LR_mult 1.000
Step 22500: Train 3.3635, Val 3.3539, LR_mult 1.000
Step 23000: Train 3.3553, Val 3.3462, LR_mult 1.000
Step 23500: Train 3.3125, Val 3.3609, LR_mult 1.000
Step 24000: Train 3.3164, Val 3.3471, LR_mult 1.000
Step 24500: Train 3.3473, Val 3.3370, LR_mult 1.000
Step 25000: Train 3.3715, Val 3.3292, LR_mult 1.000
Step 25500: Train 3.2798, Val 3.3398, LR_mult 1.000
Step 26000: Train 3.3539, Val 3.3410, LR_mult 1.000
Step 26500: Train 3.3124, Val 3.3336, LR_mult 1.000
Step 27000: Train 3.3170, Val 3.3231, LR_mult 1.000
Step 27500: Train 3.4106, Val 3.3235, LR_mult 0.850
Step 28000: Train 3.2617, Val 3.3019, LR_mult 0.700
Step 28500: Train 3.1830, Val 3.2840, LR_mult 0.550
Step 29000: Train 3.2290, Val 3.2837, LR_mult 0.400
Step 29500: Train 3.2181, Val 3.2752, LR_mult 0.250
Step 30000: Train 3.1824, Val 3.2584, LR_mult 0.100
