Neon309 Training Log (Sink-Aware RMSNorm)
Config: {'vocab_size': 16384, 'd_model': 512, 'n_layers': 8, 'n_head': 8, 'd_ff': 2048, 'block_size': 512}
Steps: 30000, Batch: 64

Step 500: Train 5.9817, Val 5.9788, LR_mult 0.166
Step 1000: Train 5.0471, Val 4.9482, LR_mult 0.333
Step 1500: Train 4.5577, Val 4.4897, LR_mult 0.500
Step 2000: Train 4.2337, Val 4.2411, LR_mult 0.666
Step 2500: Train 4.1592, Val 4.0760, LR_mult 0.833
Step 3000: Train 3.9753, Val 3.9621, LR_mult 1.000
Step 3500: Train 3.8710, Val 3.8682, LR_mult 1.000
Step 4000: Train 3.7402, Val 3.8024, LR_mult 1.000
Step 4500: Train 3.7304, Val 3.7392, LR_mult 1.000
Step 5000: Train 3.7092, Val 3.7090, LR_mult 1.000
Step 5500: Train 3.6578, Val 3.6613, LR_mult 1.000
Step 6000: Train 3.6242, Val 3.6502, LR_mult 1.000
Step 6500: Train 3.6598, Val 3.6196, LR_mult 1.000
Step 7000: Train 3.5938, Val 3.6015, LR_mult 1.000
Step 7500: Train 3.6210, Val 3.5686, LR_mult 1.000
Step 8000: Train 3.5976, Val 3.5410, LR_mult 1.000
Step 8500: Train 3.5119, Val 3.5377, LR_mult 1.000
Step 9000: Train 3.5775, Val 3.5235, LR_mult 1.000
Step 9500: Train 3.5727, Val 3.5125, LR_mult 1.000
Step 10000: Train 3.5313, Val 3.5041, LR_mult 1.000
Step 10500: Train 3.6050, Val 3.4933, LR_mult 1.000
Step 11000: Train 3.5819, Val 3.4826, LR_mult 1.000
Step 11500: Train 3.4231, Val 3.4669, LR_mult 1.000
Step 12000: Train 3.4302, Val 3.4584, LR_mult 1.000
Step 12500: Train 3.5296, Val 3.4468, LR_mult 1.000
Step 13000: Train 3.4273, Val 3.4463, LR_mult 1.000
Step 13500: Train 3.4118, Val 3.4263, LR_mult 1.000
Step 14000: Train 3.4491, Val 3.4203, LR_mult 1.000
Step 14500: Train 3.4126, Val 3.4255, LR_mult 1.000
Step 15000: Train 3.4720, Val 3.4170, LR_mult 1.000
Step 15500: Train 3.4877, Val 3.4132, LR_mult 1.000
Step 16000: Train 3.3346, Val 3.4057, LR_mult 1.000
Step 16500: Train 3.3994, Val 3.4021, LR_mult 1.000
Step 17000: Train 3.4126, Val 3.3943, LR_mult 1.000
Step 17500: Train 3.3700, Val 3.3850, LR_mult 1.000
Step 18000: Train 3.4147, Val 3.3792, LR_mult 1.000
Step 18500: Train 3.3130, Val 3.3843, LR_mult 1.000
Step 19000: Train 3.3339, Val 3.3786, LR_mult 1.000
Step 19500: Train 3.3206, Val 3.3834, LR_mult 1.000
Step 20000: Train 3.3801, Val 3.3607, LR_mult 1.000
Step 20500: Train 3.3468, Val 3.3844, LR_mult 1.000
Step 21000: Train 3.4001, Val 3.3604, LR_mult 1.000
Step 21500: Train 3.3248, Val 3.3571, LR_mult 1.000
Step 22000: Train 3.3502, Val 3.3568, LR_mult 1.000
Step 22500: Train 3.3500, Val 3.3581, LR_mult 1.000
Step 23000: Train 3.2461, Val 3.3439, LR_mult 1.000
Step 23500: Train 3.2629, Val 3.3420, LR_mult 1.000
Step 24000: Train 3.3047, Val 3.3456, LR_mult 1.000
Step 24500: Train 3.3852, Val 3.3332, LR_mult 1.000
Step 25000: Train 3.2724, Val 3.3349, LR_mult 1.000
Step 25500: Train 3.2875, Val 3.3386, LR_mult 1.000
Step 26000: Train 3.2920, Val 3.3220, LR_mult 1.000
Step 26500: Train 3.2636, Val 3.3184, LR_mult 1.000
Step 27000: Train 3.3831, Val 3.3270, LR_mult 1.000
Step 27500: Train 3.3721, Val 3.3073, LR_mult 0.850
Step 28000: Train 3.3051, Val 3.2858, LR_mult 0.700
Step 28500: Train 3.3044, Val 3.2807, LR_mult 0.550
Step 29000: Train 3.2596, Val 3.2860, LR_mult 0.400
Step 29500: Train 3.1971, Val 3.2735, LR_mult 0.250
Step 30000: Train 3.1892, Val 3.2448, LR_mult 0.100
