Model      | Params     | d_ff   | Norm         | Pos    | Act          | Bias 
--------------------------------------------------------------------------------
neon001    | 2,371,072  | 512    | Unknown      | RoPE   | GELU         | True 
neon002    | 2,362,112  | 512    | RMSNorm      | RoPE   | GELU         | False
neon003    | 1,968,896  | 512    | RMSNorm      | RoPE   | GELU         | False
neon004    | 1,968,896  | 512    | RMSNorm      | RoPE   | Unknown      | False
neon005    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon006    | 2,755,328  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon007    | 2,889,984  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon008    | 2,888,704  | 512    | LayerNorm    | RoPE   | SwiGLU (SiLU) | False
neon009    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon010    | 2,903,040  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon011    | 12,230,528 | 768    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon012    | 16,285,312 | 1024   | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon013    | 8,538,880  | 640    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon014    | 14,579,712 | 1536   | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon015    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon016    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon017    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon018    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon019    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon020    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon021    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon022    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon023    | 6,034,688  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon024    | 6,034,688  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon025    | 3,148,544  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon026    | 3,150,592  | 598    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon027    | 3,148,800  | 592    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon028    | 3,148,544  | 640    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon029    | 3,148,780  | 891    | Unknown      | RoPE   | GELU         | True 
neon030    | 3,148,544  | 896    | RMSNorm      | RoPE   | GELU         | False
neon031    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon032    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon033    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon034    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon035    | 2,886,912  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon036    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
neon037    | 2,886,400  | 512    | RMSNorm      | RoPE   | SwiGLU (SiLU) | False
