neon001 | 2.37M | d=256 ff=512 h=4 L=4 | total=2,371,072 emb=0 non_emb=2,371,072
neon002 | 2.36M | d=256 ff=512 h=4 L=4 | total=2,362,112 emb=0 non_emb=2,362,112
neon003 | 1.97M | d=256 ff=512 h=4 L=4 | total=1,968,896 emb=0 non_emb=1,968,896
neon004 | 1.97M | d=256 ff=512 h=4 L=4 | total=1,968,896 emb=0 non_emb=1,968,896
neon005 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon006 | 2.76M | d=256 ff=512 h=4 L=4 | total=2,755,328 emb=0 non_emb=2,755,328
neon007 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,889,984 emb=0 non_emb=2,889,984
neon008 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,888,704 emb=0 non_emb=2,888,704
neon009 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon010 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon011 | 12.23M | d=384 ff=768 h=6 L=8 | total=12,230,528 emb=0 non_emb=12,230,528
neon012 | 16.29M | d=512 ff=1024 h=8 L=6 | total=16,285,312 emb=0 non_emb=16,285,312
neon013 | 8.54M | d=320 ff=640 h=8 L=8 | total=8,538,880 emb=0 non_emb=8,538,880
neon014 | 14.58M | d=384 ff=1536 h=6 L=6 | total=14,579,712 emb=0 non_emb=14,579,712
neon015 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon016 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon017 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon018 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon019 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon020 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon021 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon022 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon023 | 6.03M | d=256 ff=512 h=4 L=8 | total=6,034,688 emb=0 non_emb=6,034,688
neon024 | 6.03M | d=256 ff=512 h=4 L=8 | total=6,034,688 emb=0 non_emb=6,034,688
neon025 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon026 | 3.15M | d=256 ff=598 h=4 L=4 | total=3,150,592 emb=0 non_emb=3,150,592
neon027 | 3.15M | d=256 ff=592 h=4 L=4 | total=3,148,800 emb=0 non_emb=3,148,800
neon028 | 3.15M | d=256 ff=640 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon029 | 3.15M | d=256 ff=891 h=4 L=4 | total=3,148,780 emb=0 non_emb=3,148,780
neon030 | 3.15M | d=256 ff=896 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon031 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon032 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon033 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon034 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon035 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,912 emb=0 non_emb=2,886,912
neon036 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon037 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon038 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon039 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,400 emb=0 non_emb=2,886,400
neon040 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,886,656 emb=0 non_emb=2,886,656
neon041 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon042 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon043 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon044 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon045 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon046 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon047 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon048 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon049 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon050 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,296 emb=0 non_emb=2,903,296
neon051 | 2.89M | d=256 ff=512 h=4 L=4 | total=2,887,424 emb=0 non_emb=2,887,424
neon052 | 2.94M | d=256 ff=512 h=4 L=4 | total=2,935,808 emb=0 non_emb=2,935,808
neon053 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon054 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,903,040 emb=0 non_emb=2,903,040
neon055 | 3.15M | d=256 ff=592 h=4 L=4 | total=3,148,800 emb=0 non_emb=3,148,800
neon056 | 3.17M | d=256 ff=592 h=4 L=4 | total=3,165,440 emb=0 non_emb=3,165,440
neon057 | 3.15M | d=256 ff=592 h=4 L=4 | total=3,148,800 emb=0 non_emb=3,148,800
neon058 | 2.90M | d=256 ff=512 h=4 L=4 | total=2,902,784 emb=0 non_emb=2,902,784
neon059 | 3.15M | d=256 ff=592 h=4 L=4 | total=3,149,568 emb=0 non_emb=3,149,568
neon060 | 3.15M | d=256 ff=592 h=4 L=4 | total=3,148,800 emb=0 non_emb=3,148,800
neon061 | 9.98M | d=256 ff=2736 h=4 L=4 | total=9,980,672 emb=0 non_emb=9,980,672
neon062 | 1.57M | d=256 ff=512 h=4 L=4 | total=1,574,656 emb=0 non_emb=1,574,656
neon063 | 4.20M | d=256 ff=512 h=4 L=4 | total=4,199,168 emb=0 non_emb=4,199,168
neon064 | 3.02M | d=256 ff=512 h=4 L=4 | total=3,017,472 emb=0 non_emb=3,017,472
neon065 | 4.46M | d=256 ff=512 h=4 L=4 | total=4,462,848 emb=0 non_emb=4,462,848
neon066 | 2.11M | d=256 ff=172 h=4 L=4 | total=2,105,600 emb=0 non_emb=2,105,600
neon067 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon068 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon069 | 3.15M | d=256 ff=512 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon070 | 3.10M | d=256 ff=576 h=4 L=4 | total=3,099,392 emb=0 non_emb=3,099,392
neon071 | 3.25M | d=256 ff=640 h=4 L=4 | total=3,246,848 emb=0 non_emb=3,246,848
neon072 | 3.48M | d=256 ff=512 h=4 L=4 | total=3,476,224 emb=0 non_emb=3,476,224
neon073 | 3.10M | d=256 ff=576 h=4 L=4 | total=3,099,392 emb=0 non_emb=3,099,392
neon074 | 3.10M | d=256 ff=576 h=4 L=4 | total=3,099,392 emb=0 non_emb=3,099,392
neon075 | 3.10M | d=256 ff=576 h=4 L=4 | total=3,099,392 emb=0 non_emb=3,099,392
neon076 | 3.07M | d=240 ff=480 h=4 L=4 | total=3,070,800 emb=0 non_emb=3,070,800
neon077 | 3.09M | d=256 ff=368 h=4 L=4 | total=3,086,080 emb=0 non_emb=3,086,080
neon078 | 3.12M | d=256 ff=500 h=4 L=4 | total=3,124,352 emb=0 non_emb=3,124,352
neon079 | 3.13M | d=256 ff=480 h=4 L=4 | total=3,129,240 emb=0 non_emb=3,129,240
neon080 | 3.15M | d=256 ff=384 h=4 L=4 | total=3,151,616 emb=0 non_emb=3,151,616
neon081 | 3.13M | d=256 ff=378 h=4 L=4 | total=3,133,184 emb=0 non_emb=3,133,184
neon082 | 3.16M | d=256 ff=416 h=4 L=4 | total=3,156,736 emb=0 non_emb=3,156,736
neon083 | 3.13M | d=256 ff=378 h=4 L=4 | total=3,133,184 emb=0 non_emb=3,133,184
neon084 | 3.15M | d=256 ff=382 h=4 L=4 | total=3,145,472 emb=0 non_emb=3,145,472
neon085 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon086 | 3.14M | d=256 ff=380 h=4 L=4 | total=3,141,376 emb=0 non_emb=3,141,376
neon087 | 3.12M | d=256 ff=368 h=4 L=4 | total=3,122,944 emb=0 non_emb=3,122,944
neon088 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon089 | 3.15M | d=256 ff=378 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon090 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon091 | 9.98M | d=256 ff=2050 h=4 L=4 | total=9,981,696 emb=0 non_emb=9,981,696
neon092 | 9.98M | d=256 ff=2049 h=4 L=4 | total=9,980,672 emb=0 non_emb=9,980,672
neon093 | 9.98M | d=256 ff=1240 h=4 L=8 | total=9,983,232 emb=0 non_emb=9,983,232
neon094 | 9.98M | d=256 ff=2113 h=4 L=4 | total=9,980,672 emb=0 non_emb=9,980,672
neon095 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,032 emb=0 non_emb=3,148,032
neon096 | 3.15M | d=256 ff=437 h=4 L=4 | total=3,148,032 emb=0 non_emb=3,148,032
neon097 | 3.15M | d=256 ff=379 h=4 L=4 | total=3,145,472 emb=0 non_emb=3,145,472
neon098 | 3.15M | d=256 ff=379 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon099 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon100 | 3.15M | d=256 ff=508 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
neon101 | 3.15M | d=256 ff=437 h=4 L=4 | total=3,148,032 emb=0 non_emb=3,148,032
neon102 | 3.15M | d=256 ff=437 h=4 L=4 | total=3,148,032 emb=0 non_emb=3,148,032
neon103 | 3.15M | d=256 ff=437 h=4 L=4 | total=3,148,032 emb=0 non_emb=3,148,032
neon104 | 3.15M | d=256 ff=472 h=4 L=4 | total=3,149,568 emb=0 non_emb=3,149,568
neon105 | 3.15M | d=256 ff=472 h=4 L=4 | total=3,149,568 emb=0 non_emb=3,149,568
neon106 | 3.15M | d=256 ff=381 h=4 L=4 | total=3,148,544 emb=0 non_emb=3,148,544
